feature_name,Model 1,feature_imp_scaled_vals,Region,Model,Model 2
comparativesolution,7.0,0.014488280195805382,MEU,Model 1,
hplc,7.0,0.014032906646573567,MEU,Model 1,
comparison,7.0,0.012748806732871841,MEU,Model 1,
granular,7.0,0.0112470800483442,MEU,Model 1,
encaps,7.0,0.011181593183730194,MEU,Model 1,
monohydrate,7.0,0.010162040168161617,MEU,Model 1,
mediumgran,7.0,0.008638113323540664,MEU,Model 1,
proposedharmonizeto,7.0,0.008229774704116039,MEU,Model 1,
citricacidnon,7.0,0.00812201569297404,MEU,Model 1,
use,7.0,0.007354728968947252,MEU,Model 1,
gran,7.0,0.005287265801129116,MEU,Model 1,
citricacidmonohydratedfinegranular,7.0,0.00494920968388966,MEU,Model 1,
non,7.0,0.0,MEU,Model 1,
opalescencesolution,7.0,0.0,MEU,Model 1,
color,7.0,0.0,MEU,Model 1,
proposed,7.0,0.0,MEU,Model 1,
citricacidmonohydrate,7.0,0.0,MEU,Model 1,
thiswillbeharmonizedto,7.0,0.0,MEU,Model 1,
donot,7.0,0.0,MEU,Model 1,
additive,8.0,1.0,MEU,Model 1,
Quantitative - Moisture - Max,8.0,0.594033656166302,MEU,Model 1,
"Standard Composition - CITRIC ACID - Value, %",8.0,0.5256110812506449,MEU,Model 1,
others,8.0,0.5253063610779722,MEU,Model 1,
acid,8.0,0.4900905618895838,MEU,Model 1,
Total Solids %,8.0,0.4761630500146431,MEU,Model 1,
fischer,8.0,0.46408710000887554,MEU,Model 1,
citric,8.0,0.3852010805682494,MEU,Model 1,
